N,Time
1,.176886263
1,.168754160
1,.168193668
1,.296163778
1,.167473139
1,.168052112
1,.170378575
1,.168276250
1,.166339484
1,.178391269
2,.343607163
2,.332713413
2,.325901200
2,.327709302
2,.339788889
2,.326108764
2,.336690061
2,.333230446
2,.332060846
2,.330729350
3,.504149645
3,.508296009
3,.486915112
3,.500499807
3,.478298262
3,.491171704
3,.496288824
3,.571863198
3,.499203240
3,.512903161
4,.676417686
4,.634137573
4,.656075691
4,.650309543
4,.648893472
4,.655086976
4,.649370596
4,.661715907
4,.657728329
4,.632077290
5,.864252752
5,.823511598
5,.827728372
5,.833395222
5,.821593739
5,.824492802
5,.818284439
5,.808373189
5,.807486332
5,.820216925
6,1.002523248
6,.985089143
6,.996862894
6,.982842494
6,.991468218
6,.982141932
6,.970440625
6,.994878602
6,.980891667
6,.983655152
7,1.161730310
7,1.179744493
7,1.142088598
7,1.141505399
7,1.152516393
7,1.135462659
7,1.174495315
7,1.136597142
7,1.138338849
7,1.141719381
8,1.309893217
8,1.290775305
8,1.329326306
8,1.305097582
8,1.301490967
8,1.288092305
8,1.288222575
8,1.290441458
8,1.292457684
8,1.278150840
9,1.463585222
9,1.477069061
9,1.517065555
9,1.450164020
9,1.436379691
9,1.437370807
9,1.550708030
9,1.437017559
9,1.440193815
9,1.455908419
10,1.622518342
10,1.695130028
10,1.692427753
10,1.678737888
10,1.696663712
10,1.661519999
10,1.664390191
10,1.706140773
10,1.694597501
10,1.675175067
11,1.843987460
11,1.870324255
11,1.875201623
11,1.844267421
11,1.876139140
11,2.019575942
11,2.307928111
11,2.408538262
11,1.869045355
11,1.933982571
12,2.113441742
12,2.052351190
12,2.079308935
12,2.053933373
12,2.008357632
12,2.056268920
12,2.026797758
12,2.045964503
12,2.021512450
12,2.061513946
13,2.954664479
13,2.163225096
13,2.091776719
13,2.087272326
13,2.145275901
13,2.151471287
13,3.015121223
13,2.588293947
13,2.536922118
13,3.247088420
14,2.370853784
14,2.278039046
14,2.295179144
14,2.287463632
14,2.289330249
14,2.350569032
14,2.296518550
14,2.237130832
14,2.220048069
14,2.499358703
15,2.371090354
15,2.380481381
15,2.421959875
15,2.926787509
15,2.751672927
15,2.462455724
15,2.450320961
15,2.433581694
15,2.424593404
15,2.402718480
16,2.649684792
16,2.722861860
16,2.671372471
16,2.717619604
16,2.637452405
16,2.562361656
16,2.595288898
16,2.629474857
16,2.581363614
16,5.304633863
17,3.196213887
17,2.755781378
17,2.804879056
17,2.759585166
17,2.793675840
17,2.824657193
17,2.847180701
17,2.749254112
17,2.785090604
17,2.807805575
18,3.263451772
18,3.517234485
18,2.906538661
18,2.986544791
18,2.956328047
18,2.943550924
18,2.924188024
18,2.910425571
18,2.891517283
18,2.852269251
19,3.191970846
19,3.078819602
19,3.051696784
19,3.052911702
19,2.995099130
19,3.055145801
19,3.183022335
19,3.141340543
19,3.183230085
19,3.180804503
20,3.401204147
20,3.385913481
20,3.384423520
20,3.366546965
20,3.358726077
20,3.356449721
20,3.377769495
20,3.332082552
20,3.383881800
20,3.407523787
