N,Time
1,2.469946928
1,2.388290109
1,2.237642429
1,2.201643179
1,2.279183099
1,2.175682780
1,2.149429599
1,2.198901480
1,2.197347752
1,2.213391117
2,3.702080652
2,3.752919052
2,3.723844213
2,3.667212034
2,3.661451773
2,3.847658960
2,3.759613301
2,3.645711128
2,3.467050564
2,3.514513125
3,5.815465036
3,5.215470396
3,4.952198073
3,4.992631451
3,4.822055428
3,4.870796452
3,4.804976122
3,4.784974008
3,4.732611486
3,4.727608224
4,6.307827600
4,6.370212476
4,6.327008874
4,6.338140823
4,6.234101455
4,6.205853453
4,6.189023454
4,6.217431755
4,6.438416682
4,6.293429268
5,7.919385749
5,7.975644869
5,7.755344658
5,7.751957371
5,7.723108767
5,7.804766280
5,7.882278774
5,7.846071049
5,7.972298803
5,7.934386830
6,9.393291843
6,9.225918264
6,9.165937425
6,9.261493254
6,9.220015917
6,9.340254248
6,9.713312100
6,9.281947347
6,9.233056869
6,9.248845807
7,10.720156298
7,10.769543153
7,11.602076194
7,10.941693498
7,10.724318723
7,10.675501652
7,10.859960150
7,11.130308028
7,10.867400647
7,10.910963411
8,12.285293059
8,12.315341095
8,12.422844116
8,12.610470903
8,12.599146067
8,12.753031071
8,12.763243327
8,12.875683319
8,12.709569864
8,12.698849818
9,14.307748279
9,14.435147901
9,14.457831478
9,14.081266523
9,14.220659797
9,14.543642541
9,14.402656059
9,14.210424962
9,14.250325706
9,14.184202358
10,19.268548155
10,18.481255311
10,18.392363332
10,18.168110119
10,17.750243364
10,17.338727646
10,16.744594734
10,16.619221990
10,16.746106343
10,16.137691993
11,17.669014613
11,17.000995264
11,17.345153351
11,17.626020477
11,17.450125449
11,17.303400012
11,17.688637605
11,18.390495351
11,19.123055278
11,18.482160869
12,20.559508391
12,21.035902978
12,20.709981553
12,21.708107954
12,20.783191536
12,19.936698006
12,20.099385362
12,20.263509423
12,20.188875745
12,20.239657471
13,21.206827645
13,21.567152439
13,20.786245103
13,21.396321744
13,21.270514710
13,21.662320282
13,21.134114518
13,21.239660203
13,21.207756383
13,20.955720069
14,25.697816070
14,22.726620902
14,22.642527253
14,23.605542233
14,24.151302748
14,25.480779246
14,25.817545827
14,25.601323486
14,23.536919290
14,22.840366574
15,24.537747297
15,23.939919173
15,24.171667997
15,26.872066991
15,27.953738245
15,28.413021511
15,29.603216823
15,27.968582430
15,27.324562700
15,26.635819801
16,27.836079652
16,29.443712353
16,27.614152015
16,26.400234246
16,25.554821062
16,25.327220433
16,25.306801504
16,25.055998834
16,25.196930866
16,25.659190993
17,27.639531424
17,26.945142341
17,26.928875671
17,27.286532672
17,26.862699910
17,27.310448971
17,26.482816313
17,26.940273236
17,26.506342709
17,26.607550040
18,28.330864321
18,32.549440332
18,30.507486281
18,29.978891182
18,30.889724682
18,29.119525725
18,29.399631485
18,28.844734055
18,29.264298804
18,30.595942731
19,31.650279764
19,31.797027258
19,31.025458237
19,31.809623279
19,33.785368198
19,30.121286140
19,29.695599210
19,30.100432380
19,30.533443893
19,30.447235016
20,32.300263362
20,32.415386704
20,32.554520388
20,32.907843619
20,32.261796487
20,32.078644233
20,34.814318268
20,32.321527032
20,32.187110327
20,32.240536119
